SERIALNO,SPORDER,PUMA,STATE,PWGTP,HISP,RAC1P
2019HU0013883,1,07513,6,23,1,6
2019HU0013883,2,07513,6,23,1,1
2019HU0013883,3,07513,6,18,1,1
2019HU0014700,1,07514,6,26,1,1
2019HU0015079,1,07510,6,14,1,9
2019HU0015079,2,07510,6,12,1,1
2019HU0015292,1,07513,6,21,1,1
2019HU0015292,2,07513,6,17,1,1
2019HU0015292,3,07513,6,35,1,2
2019HU0016320,1,07511,6,6,1,6
2019HU0016330,1,07507,6,17,1,1
2019HU0016330,2,07507,6,32,1,1
2019HU0016330,3,07507,6,24,1,1
2019HU0017060,1,07507,6,9,11,8
2019HU0017060,2,07507,6,23,11,8
2019HU0017060,3,07507,6,19,11,8
2019HU0017060,4,07507,6,21,11,8
2019HU0017060,5,07507,6,9,11,8
2019HU0017328,1,07514,6,13,1,1
2019HU0017328,2,07514,6,13,1,1
2019HU0017340,1,07512,6,19,1,1
2019HU0017537,1,07511,6,13,1,1
2019HU0017537,2,07511,6,12,1,1
2019HU0017565,1,07510,6,17,1,1
2019HU0017565,2,07510,6,14,1,1
2019HU0017980,1,07513,6,7,1,2
2019HU0018578,1,07509,6,26,1,1
2019HU0018875,1,07511,6,11,1,6
2019HU0018875,2,07511,6,12,1,1
2019HU0019295,1,07514,6,36,1,1
2019HU0019403,1,07514,6,42,1,1
2019HU0019403,2,07514,6,31,1,1
2019HU0019403,3,07514,6,30,1,1
2019HU0019403,4,07514,6,34,1,1
2019HU0019547,1,07509,6,32,1,6
2019HU0019634,1,07510,6,10,1,1
2019HU0019634,2,07510,6,10,1,1
2019HU0019784,1,07508,6,12,1,6
2019HU0020027,1,07510,6,27,1,6
2019HU0020027,2,07510,6,26,1,6
2019HU0020733,1,07514,6,47,1,6
2019HU0020733,2,07514,6,40,1,6
2019HU0020733,3,07514,6,44,1,6
2019HU0020733,4,07514,6,56,1,1
2019HU0021187,1,07508,6,11,1,1
2019HU0023912,1,07509,6,14,1,1
2019HU0024270,1,07512,6,18,1,6
2019HU0024270,2,07512,6,16,1,6
2019HU0024811,1,07510,6,18,1,6
2019HU0025154,1,07512,6,40,1,1
2019HU0025154,2,07512,6,54,1,1
2019HU0025521,1,07510,6,21,1,6
2019HU0025579,1,07507,6,15,1,9
2019HU0025579,2,07507,6,16,1,1
2019HU0025598,1,07509,6,8,1,1
2019HU0025607,1,07510,6,16,1,1
2019HU0025607,2,07510,6,23,1,1
2019HU0026531,1,07513,6,50,1,6
2019HU0026531,2,07513,6,51,1,6
2019HU0026763,1,07509,6,25,1,1
2019HU0026823,1,07513,6,12,1,1
2019HU0026823,2,07513,6,11,1,1
2019HU0026823,3,07513,6,10,1,1
2019HU0027750,1,07513,6,12,1,1
2019HU0027750,2,07513,6,17,1,1
2019HU0027750,3,07513,6,16,1,1
2019HU0027750,4,07513,6,17,1,1
2019HU0028156,1,07511,6,11,1,2
2019HU0028156,2,07511,6,33,24,2
